Sport,Discipline,Athlete,Country,Gender,Event
Rowing,Rowing,"GROHMANN, Tim",GER,Men,Quadruple Sculls
Rowing,Rowing,"SCHOOF, Lauritz",GER,Men,Quadruple Sculls
Rowing,Rowing,"SCHULZE, Karl",GER,Men,Quadruple Sculls
Rowing,Rowing,"WENDE, Phillipp",GER,Men,Quadruple Sculls
Rowing,Rowing,"DEMENTYEVA, Yana",UKR,Women,Quadruple Sculls
Rowing,Rowing,"DOVGODKO, Nataliya",UKR,Women,Quadruple Sculls
Rowing,Rowing,"KOZHENKOVA, Anastasiia",UKR,Women,Quadruple Sculls
Rowing,Rowing,"TARASENKO, Kateryna",UKR,Women,Quadruple Sculls
Rowing,Rowing,"DRYSDALE, Mahe",NZL,Men,Single Sculls
Rowing,Rowing,"KNAPKOVA, Mirka",CZE,Women,Single Sculls
Sailing,Sailing,"BELCHER, Mathew",AUS,Men,470
Sailing,Sailing,"PAGE, Malcolm",AUS,Men,470
Sailing,Sailing,"ALEH, Jo",NZL,Women,470
Sailing,Sailing,"POWRIE, Olivia",NZL,Women,470
Sailing,Sailing,"JENSEN, Iain",AUS,Men,49Er - Skiff
Sailing,Sailing,"OUTTERIDGE, Nathan",AUS,Men,49Er - Skiff
Sailing,Sailing,"ECHEGOYEN DOMINGUEZ, Tamara",ESP,Women,Elliott 6M
Sailing,Sailing,"PUMARIEGA MENENDEZ, Angela",ESP,Women,Elliott 6M
Sailing,Sailing,"TORO PRIETO PUGA, Sofia",ESP,Women,Elliott 6M
Sailing,Sailing,"AINSLIE, Ben",GBR,Men,Finn
Sailing,Sailing,"SLINGSBY, Tom",AUS,Men,Laser
Sailing,Sailing,"XU, Lijia",CHN,Women,Laser Radial
Sailing,Sailing,"VAN RIJSSELBERGE, Dorian",NED,Men,Rs:X
Sailing,Sailing,"ALABAU, Marina",ESP,Women,Rs:X
Sailing,Sailing,"LÖÖF, Fredrik",SWE,Men,Star
Sailing,Sailing,"SALMINEN, Max",SWE,Men,Star
Shooting,Shooting,"JIN, Jongoh",KOR,Men,10M Air Pistol
Shooting,Shooting,"GUO, Wenjun",CHN,Women,10M Air Pistol
Shooting,Shooting,"MOLDOVEANU, Alin George",ROU,Men,10M Air Rifle
Shooting,Shooting,"YI, Siling",CHN,Women,10M Air Rifle
Shooting,Shooting,"KIM, Jangmi",KOR,Women,25M Pistol
Shooting,Shooting,"PUPO, Leuris",CUB,Men,25M Rapid Pistol
Shooting,Shooting,"JIN, Jongoh",KOR,Men,50M Pistol
Shooting,Shooting,"CAMPRIANI, Niccolo",ITA,Men,50M Rifle 3 Positions
Shooting,Shooting,"GRAY, Jamie Lynn",USA,Women,50M Rifle 3 Positions
Shooting,Shooting,"MARTYNOV, Sergei",BLR,Men,50M Rifle Prone
Shooting,Shooting,"WILSON, Peter",GBR,Men,Double Trap 150
Shooting,Shooting,"HANCOCK, Vincent",USA,Men,Skeet
Shooting,Shooting,"RHODE, Kimberly",USA,Women,Skeet
Shooting,Shooting,"CERNOGORAZ, Giovanni",CRO,Men,Trap
Shooting,Shooting,"ROSSI, Jessica",ITA,Women,Trap
Table Tennis,Table Tennis,"ZHANG, Jike",CHN,Men,Singles
Table Tennis,Table Tennis,"LI, Xiaoxia",CHN,Women,Singles
Table Tennis,Table Tennis,"MA, Long",CHN,Men,Team
Table Tennis,Table Tennis,"WANG, Hao",CHN,Men,Team
Table Tennis,Table Tennis,"ZHANG, Jike",CHN,Men,Team
Table Tennis,Table Tennis,"DING, Ning",CHN,Women,Team
Table Tennis,Table Tennis,"GUO, Yue",CHN,Women,Team
Table Tennis,Table Tennis,"LI, Xiaoxia",CHN,Women,Team
Taekwondo,Taekwondo,"WU, Jingyu",CHN,Women,- 49 KG
Taekwondo,Taekwondo,"GONZALEZ BONILLA, Joel",ESP,Men,- 58 KG
Taekwondo,Taekwondo,"MANDIC, Milica",SRB,Women,+ 67 KG
Taekwondo,Taekwondo,"MOLFETTA, Carlo",ITA,Men,+ 80 KG
Taekwondo,Taekwondo,"JONES, Jade",GBR,Women,49 - 57 KG
Taekwondo,Taekwondo,"HWANG, Kyung Seon",KOR,Women,57 - 67 KG
Taekwondo,Taekwondo,"TAZEGUL, Servet",TUR,Men,58 - 68 KG
Taekwondo,Taekwondo,"CRISMANICH, Sebastian Eduardo",ARG,Men,68 - 80 KG
Tennis,Tennis,"BRYAN, Bob",USA,Men,Doubles
Tennis,Tennis,"BRYAN, Mike",USA,Men,Doubles
Tennis,Tennis,"WILLIAMS, Serena",USA,Women,Doubles
Tennis,Tennis,"WILLIAMS, Venus",USA,Women,Doubles
Tennis,Tennis,"AZARENKA, Victoria",BLR,Women,Mixed Doubles
Tennis,Tennis,"MIRNYI, Max",BLR,Men,Mixed Doubles
Tennis,Tennis,"MURRAY, Andy",GBR,Men,Singles
Tennis,Tennis,"WILLIAMS, Serena",USA,Women,Singles
Triathlon,Triathlon,"BROWNLEE, Alistair",GBR,Men,Individual
Triathlon,Triathlon,"SPIRIG, Nicola",SUI,Women,Individual
Volleyball,Beach Volleyball,"BRINK, Julius",GER,Men,Beach Volleyball
Volleyball,Beach Volleyball,"RECKERMANN, Jonas",GER,Men,Beach Volleyball
Volleyball,Beach Volleyball,"MAY, Misty",USA,Women,Beach Volleyball
Volleyball,Beach Volleyball,"WALSH JENNINGS, Kerri",USA,Women,Beach Volleyball
Volleyball,Volleyball,"APALIKOV, Nikolay",RUS,Men,Volleyball
Volleyball,Volleyball,"BEREZHKO, Yury",RUS,Men,Volleyball
Volleyball,Volleyball,"BUTKO, Alexander",RUS,Men,Volleyball
Volleyball,Volleyball,"GRANKIN, Sergey",RUS,Men,Volleyball
Volleyball,Volleyball,"ILINYKH, Dmitriy",RUS,Men,Volleyball
Volleyball,Volleyball,"KHTEY, Taras",RUS,Men,Volleyball
Volleyball,Volleyball,"MIKHAYLOV, Maxim",RUS,Men,Volleyball
Volleyball,Volleyball,"MUSERSKIY, Dmitriy",RUS,Men,Volleyball
Volleyball,Volleyball,"OBMOCHAEV, Alexey",RUS,Men,Volleyball
Volleyball,Volleyball,"SOKOLOV, Alexander",RUS,Men,Volleyball
Volleyball,Volleyball,"TETYUKHIN, Sergey",RUS,Men,Volleyball
Volleyball,Volleyball,"VOLKOV, Alexander",RUS,Men,Volleyball
Volleyball,Volleyball,"CAIXETA, Tandara",BRA,Women,Volleyball
Volleyball,Volleyball,"CARVALHO, Jaqueline",BRA,Women,Volleyball
Volleyball,Volleyball,"CASTRO, Sheilla",BRA,Women,Volleyball
Volleyball,Volleyball,"CLAUDINO, Fabiana",BRA,Women,Volleyball
Volleyball,Volleyball,"FERREIRA, Fernanda",BRA,Women,Volleyball
Volleyball,Volleyball,"LINS, Danielle",BRA,Women,Volleyball
Volleyball,Volleyball,"MENEZES, Thaisa",BRA,Women,Volleyball
Volleyball,Volleyball,"OLIVEIRA, Fabiana",BRA,Women,Volleyball
Volleyball,Volleyball,"PEQUENO, Paula",BRA,Women,Volleyball
Volleyball,Volleyball,"PEREIRA, Natalia",BRA,Women,Volleyball
Volleyball,Volleyball,"RODRIGUES, Fernanda",BRA,Women,Volleyball
Volleyball,Volleyball,"SILVA, Adenizia",BRA,Women,Volleyball
Weightlifting,Weightlifting,"SALIMIKORDASIABI, Behdad",IRI,Men,+105KG
Weightlifting,Weightlifting,"ZHOU, Lulu",CHN,Women,+75KG
Weightlifting,Weightlifting,"TOROKHTIY, Oleksiy",UKR,Men,105KG
Weightlifting,Weightlifting,"WANG, Mingjuan",CHN,Women,48KG
Weightlifting,Weightlifting,"HSU, Shu-Ching",TPE,Women,53KG
Weightlifting,Weightlifting,"OM, Yun Chol",PRK,Men,-56KG
Weightlifting,Weightlifting,"LI, Xueying",CHN,Women,58KG
Weightlifting,Weightlifting,"KIM, Un Guk",PRK,Men,62KG
Weightlifting,Weightlifting,"LIN, Qingfeng",CHN,Men,69KG
Weightlifting,Weightlifting,"RIM, Jong Sim",PRK,Women,69KG
Weightlifting,Weightlifting,"VALENTIN PEREZ, Lidia",ESP,Women,75KG
Weightlifting,Weightlifting,"LU, Xiaojun",CHN,Men,77KG
Weightlifting,Weightlifting,"ZIELINSKI, Adrian Edward",POL,Men,85KG
Weightlifting,Weightlifting,"MOHAMMADPOURKARKARAGH, Saeid",IRI,Men,94KG
Wrestling,Wrestling Freestyle,"TAYMAZOV, Artur",UZB,Men,Wf 120KG
Wrestling,Wrestling Freestyle,"OBARA, Hitomi",JPN,Women,Wf 48 KG
Wrestling,Wrestling Freestyle,"OTARSULTANOV, Dzhamal",RUS,Men,Wf 55 KG
Wrestling,Wrestling Freestyle,"YOSHIDA, Saori",JPN,Women,Wf 55 KG
Wrestling,Wrestling Freestyle,"ASGAROV, Toghrul",AZE,Men,Wf 60 KG
Wrestling,Wrestling Freestyle,"ICHO, Kaori",JPN,Women,Wf 63 KG
Wrestling,Wrestling Freestyle,"YONEMITSU, Tatsuhiro",JPN,Men,Wf 66 KG
Wrestling,Wrestling Freestyle,"VOROBIEVA, Natalia",RUS,Women,Wf 72 KG
Wrestling,Wrestling Freestyle,"BURROUGHS, Jordan Ernest",USA,Men,Wf 74 KG
Wrestling,Wrestling Freestyle,"SHARIFOV, Sharif",AZE,Men,Wf 84 KG
Wrestling,Wrestling Freestyle,"VARNER, Jacob Stephen",USA,Men,Wf 96 KG
Wrestling,Wrestling Freestyle,"LOPEZ NUNEZ, Mijain",CUB,Men,Wg 120 KG
Wrestling,Wrestling Freestyle,"SORYAN REIHANPOUR, Hamid Mohammad",IRI,Men,Wg 55 KG
Wrestling,Wrestling Freestyle,"NOROOZI, Omid Haji",IRI,Men,Wg 60 KG
Wrestling,Wrestling Freestyle,"KIM, Hyeonwoo",KOR,Men,Wg 66 KG
Wrestling,Wrestling Freestyle,"VLASOV, Roman",RUS,Men,Wg 74 KG
Wrestling,Wrestling Freestyle,"KHUGAEV, Alan",RUS,Men,Wg 84 KG
Wrestling,Wrestling Freestyle,"REZAEI, Ghasem Gholamreza",IRI,Men,Wg 96 KG
